Date,Aircraft,Origin,Destination,Takoff,Landing,Duration,Gate Departure,Gate Arrival,Schedule_gd,Scheduled_ga,Is Weekend,Is Holiday,dep_weather,arr_weather,Delay (min),Is Delayed
11-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:05AM NST,09:31AM AST,Cancelled,7:55 AM,9:41 AM,7:55 AM,9:41 AM,0,0,Blowing Snow,Mainly Clear,1440.0,1
10-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:05AM NST,09:30AM AST,Cancelled,,,7:55 AM,9:41 AM,0,0,"Moderate Snow,Blowing Snow ",Clear,1440.0,1
09-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:43AM NST,10:03AM AST,1:49,8:34 AM,10:13 AM,7:55 AM,9:41 AM,1,0,Cloudy ,Snow,32.0,1
08-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:58AM NST,09:19AM AST,1:50,7:45 AM,9:25 AM,7:55 AM,9:41 AM,1,0,Mostly Cloudy,Snow,-16.0,0
07-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:02AM NST,09:32AM AST,1:59,7:49 AM,9:41 AM,7:55 AM,9:41 AM,0,0,Snow Showers ,Fog,0.0,0
06-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:59AM NST,09:20AM AST,1:50,7:50 AM,9:28 AM,7:55 AM,9:41 AM,0,0,Mainly Clear ,Clear,-13.0,0
05-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:05AM NST,09:17AM AST,1:41,7:50 AM,9:25 AM,7:55 AM,9:41 AM,0,0,Snow Showers ,Clear ,-16.0,0
04-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:59AM NST,09:39AM AST,2:10,7:47 AM,9:46 AM,7:55 AM,9:41 AM,0,0,Drizzle ,Snow,5.0,1
03-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:58AM NST,09:21AM AST,1:53,7:44 AM,9:21 AM,7:55 AM,9:41 AM,0,0,Mostly Cloudy,Cloudy,-20.0,0
02-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:54AM NST,09:21AM AST,1:56,7:45 AM,9:27 AM,7:55 AM,9:41 AM,1,0,"Snow Showers,Blowing Snow",Clear,-14.0,0
01-Feb-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:09AM NST,09:48AM AST,2:08,7:43 AM,9:53 AM,7:55 AM,9:41 AM,1,0,Snow ,Snow,12.0,1
31-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:00AM NST,09:31AM AST,2:00,7:50 AM,9:41 AM,7:55 AM,9:41 AM,0,0,Blowing Snow,Clear,0.0,0
30-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:56AM NST,09:16AM AST,1:49,7:44,9:22 AM,7:55 AM,9:41 AM,0,0,Cloudy,Snow,-19.0,0
29-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:11AM NST,09:38AM AST,1:56,8:01 AM,9:50 AM,7:55 AM,9:41 AM,0,0,Snow Showers,Cloudy,9.0,1
28-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:59AM NST,09:27AM AST,1:58,7:46 AM,9:37 AM,7:55 AM,9:41 AM,0,0,Cloudy,Cloudy,-4.0,0
27-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:22AM NST,09:46AM AST,1:53,7:44 AM,9:52 AM,7:55 AM,9:41 AM,0,0,Snow,Clear,11.0,1
26-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:09AM NST,09:20AM AST,1:40,7:45 AM,9:27 AM,7:55 AM,9:41 AM,1,0,Clear,Clear,-14.0,0
25-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:52AM NST,09:17AM AST,1:54,7:41 AM,9:22 AM,7:55 AM,9:41 AM,1,0,Mostly Cloudy,Clear,-19.0,0
23-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:00AM NST,09:25AM AST,1:54,7:46 AM,9:33 AM,7:55 AM,9:41 AM,0,0,Mostly Cloudy,Cloudy,-8.0,0
22-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:21AM NST,10:03AM AST,2:12,7:52 AM,10:10 AM,7:55 AM,9:41 AM,0,0,Snow,Snow,29.0,1
21-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),07:59AM NST,09:27AM AST,1:58,7:44 AM,9:30 AM,7:55 AM,9:41 AM,0,0,"Snow Showers,Blowing Snow",Mainly Clear,-11.0,0
20-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:08AM NST,09:39AM AST,2:00,7:55 AM,9:44 AM,7:55 AM,9:41 AM,0,0,"Rain,Fog","Drizzle,Fog",3.0,1
19-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:12AM NST,09:29AM AST,1:47,7:50 AM,9:35 AM,7:55 AM,9:41 AM,1,0,Cloudy,Moderate Rain,-6.0,0
18-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:16AM NST,09:25AM AST,1:38,7:54 AM,9:33 AM,7:55 AM,9:41 AM,1,0,Mainly Clear,Mainly Clear,-8.0,0
17-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:16AM NST,09:27AM AST,1:40,7:51 AM,9:33 AM,7:55 AM,9:41 AM,0,0,Snow Showers,Mainly Clear,-8.0,0
16-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:12AM NST,09:29AM AST,1:46,7:50 AM,9:31 AM,7:55 AM,9:41 AM,0,0,Snow,Snow,-10.0,0
15-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:07AM NST,09:09AM AST,1:32,7:48 AM,9:15 AM,7:55 AM,9:41 AM,0,0,Snow Showers,Snow,-26.0,0
14-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:14AM NST,09:26AM AST,1:41,7:45 AM,9:36 AM,7:55 AM,9:41 AM,0,0,Freezing Drizzle,Cloudy,-5.0,0
13-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:11AM NST,09:18AM AST,1:36,7:49 AM,9:25 AM,7:55 AM,9:41 AM,0,0,Snow Showers,Cloudy,-16.0,0
12-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:09AM NST,09:22AM AST,1:42,7:46 AM,9:25 AM,7:55 AM,9:41 AM,1,0,Snow Showers,Snow,-16.0,0
11-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:10AM NST,09:24AM AST,1:43,7:50 AM,9:30 AM,7:55 AM,9:41 AM,1,0,"Drizzle,Fog",Mostly Cloudy,-11.0,0
10-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:14AM NST,09:20AM AST,1:35,7:53 AM,9:27 AM,7:55 AM,9:41 AM,0,0,Mostly Cloudy,"Rain,Fog",-14.0,0
09-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:18AM NST,09:20AM AST,1:32,7:55 AM,9:25 AM,7:55 AM,9:41 AM,0,0,Snow,Snow,-16.0,0
08-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),09:33AM NST,10:38AM AST,1:35,9:11 AM,10:43 AM,7:55 AM,9:41 AM,0,0,Fog,Cloudy,62.0,1
07-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:19AM NST,09:31AM AST,1:41,8:08 AM,9:41 AM,7:55 AM,9:41 AM,0,0,"Drizzle,Fog",Cloudy,0.0,0
06-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:06AM NST,09:20AM AST,1:43,7:55 AM,9:28 AM,7:55 AM,9:41 AM,0,0,"Snow Showers,Fog",Cloudy,-13.0,0
05-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),03:10PM NST,04:24PM AST,1:44,2:56 PM,4:29 PM,7:55 AM,9:41 AM,1,0,"Rain,Fog",Snow,408.0,1
04-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:26AM NST,09:41AM AST,1:44,8:05 AM,9:46 AM,7:55 AM,9:41 AM,1,0,Clear,Mainly Clear,5.0,1
03-Jan-25,DH8D,St. John's Int'l (CYYT),Halifax Int'l (CYHZ),08:30AM NST,09:36AM AST,1:35,7:55 AM,9:46 AM,7:55 AM,9:41 AM,0,0,Mainly Clear,Snow,5.0,1
